Gene,ID
Arhgef19,2432
Arhgef37,2433
Arhgef4,2434
Arid1b,2435
Arid3a,2436
Arid3b,2437
Arid3c,2438
Arid5a,2439
Arid5b,2440
Arl11,2441
Arl4c,2442
Arl4d,2443
Armc3,2444
Arnt,2445
Arntl,2446
Arpc3,2447
Arpc4,2448
Arrdc2,2449
Art1,2450
Art5,2451
Artn,2452
As3mt,2453
Asb10,2454
Asb6,2455
Asb7,2456
Ascc2,2457
Asf1b,2458
Asgr2,2459
Asic1,2460
Asphd1,2461
Asprv1,2462
Ass1-1,2463
Atad2,2464
Atat1,2465
Ate1,2466
Atf3,2467
Atf4,2468
Atg16l2,2469
Atg2b,2470
Atg4d,2471
Atg5,2472
Atoh8,2473
Atp13a2,2474
Atp13a3,2475
Atp1a3,2476
Atp1b2,2477
Atp2a2,2478
Atp2c2,2479
Atp4a,2480
Atp5d,2481
Atp5e,2482
Atp5g1,2483
Atp5g2,2484
Atp5k,2485
Atp6v0a1,2486
Atp6v0b,2487
Atp6v0e,2488
Atp6v0e2,2489
Atp6v1b2,2490
Atp6v1d,2491
Atp6v1f,2492
Atp7b,2493
Atp8a2,2494
Atp8b4,2495
Atp9a,2496
Atpaf2,2497
Atrnl1,2498
Atxn10,2499
Atxn7l2,2500
Aunip,2501
Aup1,2502
Aurkaip1,2503
Aurkb,2504
Aven,2505
Axin2,2506
Azin1,2507
B230118H07Rik,2508
B230217C12Rik,2509
B3gnt3,2510
B430306N03Rik,2511
B4galnt1,2512
B4galnt2,2513
B4galt2,2514
B9d1,2515
BC016579,2516
BC022687,2517
BC025446,2518
BC027072,2519
BC028528,2520
BC034090,2521
BC052040,2522
Bag3,2523
Bahcc1,2524
Banf1,2525
Barx1,2526
Batf,2527
Batf3,2528
Bbip1,2529
Bbs1,2530
Bcam,2531
Bcan,2532
Bcar3,2533
Bcat1,2534
Bckdk,2535
Bcl2,2536
Bcl2l11,2537
Bcl2l2,2538
Bcl6,2539
Bcl7a,2540
Bcl9l,2541
Becn1,2542
Bend3,2543
Bend7,2544
Bhlha9,2545
Bhlhe23,2546
Bicc1,2547
Bicd2,2548
Bicdl1,2549
Bicdl2,2550
Bicral,2551
Bik,2552
Bin2,2553
Birc7,2554
Blcap,2555
Blk,2556
Blmh,2557
Blvrb,2558
Bmf,2559
Bmp8b,2560
Bmpr1a,2561
Bms1,2562
Bnip1,2563
Borcs7,2564
Bpifb1,2565
Bpifb5,2566
Brat1,2567
Brf1,2568
Bri3,2569
Brpf3,2570
Bsn,2571
Bspry,2572
Bst2,2573
Btbd1,2574
Btbd10,2575
Btbd17,2576
Btbd6,2577
Btbd9,2578
Btg2,2579
Btg3,2580
Bub1,2581
Bub1b,2582
Bud23,2583
Bves,2584
Bzw1,2585
C130026L21Rik,2586
C130050O18Rik,2587
C1qtnf1,2588
C1qtnf12,2589
C2cd2l,2590
C2cd4c,2591
C5ar1,2592
C5ar2,2593
C77080,2594
Cabcoco1,2595
Cabp4,2596
Cacfd1,2597
Cacna1c,2598
Cacna1g,2599
Cacna1h,2600
Cacna1i,2601
Cacnb1,2602
Cacnb3,2603
Cacng4,2604
Cacng5,2605
Cactin,2606
Cad,2607
Cadm1,2608
Calcoco1,2609
Cald1,2610
Calhm2,2611
Calm3,2612
Calr,2613
Calu,2614
Caly,2615
Camk1,2616
Camk1g,2617
Camk2a,2618
Camkv,2619
Camp,2620
Camsap2,2621
Camsap3,2622
Camta1,2623
Cand2,2624
Cap1,2625
Capg,2626
Capn1,2627
Capza1,2628
Car11,2629
Car12,2630
Car14,2631
Car15,2632
Car5a,2633
Car9,2634
Card10,2635
Card19,2636
Card6,2637
Carmil3,2638
Casc1,2639
Caskin1,2640
Caskin2,2641
Casp7,2642
Casp8,2643
Casz1,2644
Catsper4,2645
Catsperd,2646
Cavin1,2647
Cavin3,2648
Cavin4,2649
Cbfa2t2,2650
Cbfa2t3,2651
Cbl,2652
Cblc,2653
Cbr2,2654
Cbx1,2655
Cbx6,2656
Cby1,2657
Cc2d1a,2658
Ccar1,2659
Ccar2,2660
Ccdc102a,2661
Ccdc105,2662
Ccdc107,2663
Ccdc112,2664
Ccdc12,2665
Ccdc126,2666
Ccdc13,2667
Ccdc134,2668
Ccdc136,2669
Ccdc141,2670
Ccdc158,2671
Ccdc167,2672
Ccdc186,2673
Ccdc24,2674
Ccdc28a,2675
Ccdc33,2676
Ccdc40,2677
Ccdc51,2678
Ccdc65,2679
Ccdc77,2680
Ccdc84,2681
Ccdc88c,2682
Ccdc92b,2683
Ccdc96,2684
Cck,2685
Ccl27a,2686
Ccm2l,2687
Ccnb2,2688
Ccnd1,2689
Ccnd3,2690
Ccne1,2691
Ccnf,2692
Ccni,2693
Ccnl2,2694
Ccr1,2695
Ccr2,2696
Ccr3,2697
Ccr5,2698
Ccrl2,2699
Cd164,2700
Cd177,2701
Cd247,2702
Cd248,2703
Cd274,2704
Cd300lb,2705
Cd37,2706
Cd44,2707
Cd52,2708
Cd83,2709
Cdadc1,2710
Cdc25b,2711
Cdc26,2712
Cdc37,2713
Cdc37l1,2714
Cdc42,2715
Cdc42ep3,2716
Cdc42ep4,2717
Cdca3,2718
Cdca4,2719
Cdcp1,2720
Cdh15,2721
Cdh22,2722
Cdhr2,2723
Cdhr5,2724
Cdk17,2725
Cdk18,2726
Cdk2ap2,2727
Cdk5,2728
Cdk5r1,2729
Cdk5rap1,2730
Cdk5rap3,2731
Cdk9,2732
Cdkal1,2733
Cdkl3,2734
Cdkn1a,2735
Cdkn1c,2736
Cdkn2c,2737
Cdkn3,2738
Cdpf1,2739
Cdt1,2740
Ceacam15,2741
Cebpe,2742
Cela1,2743
Celf2,2744
Celf3,2745
Celf5,2746
Celsr1,2747
Cenpf,2748
Cenpm,2749
Cenpo,2750
Cenpx,2751
Cep112,2752
Cep128,2753
Cep131,2754
Cep152,2755
Cep170,2756
Cep295nl,2757
Cep63,2758
Cep85,2759
Cer1,2760
Cers2,2761
Cers4,2762
Cers5,2763
Cfap43,2764
Cfap52,2765
Cfap54,2766
Cfap74,2767
Cfb,2768
Cfi,2769
Cflar,2770
Chac2,2771
Chchd10,2772
Chchd6,2773
Chd5,2774
Chd7,2775
Chmp1a,2776
Chmp7,2777
Chrd,2778
Chrna4,2779
Chrna5,2780
Chrnb1,2781
Chst14,2782
Chst9,2783
Chtf18,2784
Ciapin1,2785
Cib1,2786
Cideb,2787
Cinp,2788
Cipc,2789
Cit,2790
Cited4,2791
Ckb,2792
Clasp1,2793
Clca1,2794
Clca2,2795
Clca3b,2796
Clcc1,2797
Clcf1,2798
Clcn2,2799
Clcn6,2800
Cldn13,2801
Cldn22,2802
Cldn3,2803
Cldn4,2804
Cldn7,2805
Clec16a,2806
Clec3b,2807
Clec4g,2808
Clic1,2809
Clic4,2810
Clic6,2811
Clint1,2812
Clip1,2813
Clip2,2814
Clip3,2815
Clip4,2816
Clk1,2817
Clk2,2818
Clk3,2819
Clmn,2820
Cln6,2821
Clspn,2822
Cluh,2823
Clybl,2824
Cmc2,2825
Cmtr1,2826
Cngb1,2827
Cnih1,2828
Cnksr1,2829
Cnn1,2830
Cnn2,2831
Cnnm1,2832
Cnnm4,2833
Cntfr,2834
Cntrl,2835
Cog1,2836
Col13a1,2837
Col17a1,2838
Col1a1,2839
Col26a1,2840
Col27a1,2841
Col5a1,2842
Col5a3,2843
Col7a1,2844
Col8a2,2845
Col9a3,2846
Commd7,2847
Cops9,2848
Copz2,2849
Coq8b,2850
Coq9,2851
Corin,2852
Coro1a,2853
Coro1b,2854
Coro2b,2855
Coro6,2856
Cotl1,2857
Cox10,2858
Cox14,2859
Cox4i1,2860
Cox4i2,2861
Cox5a,2862
Cox6a1,2863
Cox6a2,2864
Cpeb1,2865
Cplx2,2866
Cpne5,2867
Cpne6,2868
Cpne7,2869
Cpne8,2870
Cpped1,2871
Cpsf1,2872
Cpsf4l,2873
Cpz,2874
Cr1l,2875
Crabp1,2876
Crabp2,2877
Cracr2a,2878
Cramp1l,2879
Crat,2880
Crb1,2881
Creb3l1,2882
Creb3l3,2883
Creb3l4,2884
Creg1,2885
Crhr1,2886
Crip1,2887
Crip2,2888
Crispld2,2889
Crk,2890
Crlf1,2891
Crmp1,2892
Crocc,2893
Crocc2,2894
Crtac1,2895
Cryzl2,2896
Cse1l,2897
Csnk1a1,2898
Csnk1e,2899
Csnk1g1,2900
Cspg4,2901
Cspg5,2902
Csrnp2,2903
Csrp1,2904
Csrp2,2905
Cstad,2906
Ctbp1,2907
Ctbs,2908
Ctnna1,2909
Ctnnb1,2910
Ctnnbl1,2911
Ctr9,2912
Ctsk,2913
Ctsz,2914
Cttnbp2nl,2915
Ctu2,2916
Ctxn1,2917
Cux2,2918
Cwh43,2919
Cx3cl1,2920
Cxxc5,2921
Cyb5r1,2922
Cyb5r3,2923
Cyba,2924
Cyc1,2925
Cygb,2926
Cyp17a1,2927
Cyp1a1,2928
Cyp1a2,2929
Cyp21a1,2930
Cyp26a1,2931
Cyp2d10,2932
Cyp2d22,2933
Cyp2d26,2934
Cyp2w1,2935
Cyp4f13,2936
Cyp4f15,2937
Cyp8b1,2938
Cyth1,2939
Cyth2,2940
D430019H16Rik,2941
D730001G18Rik,2942
D8Ertd738e,2943
D930020B18Rik,2944
D930048N14Rik,2945
Daam2,2946
Dag1,2947
Dand5,2948
Dapk2,2949
Dapl1,2950
Dazap2,2951
Dbil5,2952
Dbn1,2953
Dbndd1,2954
Dbp,2955
Dcaf1,2956
Dcaf15,2957
Dcaf6,2958
Dclk1,2959
Dclk2,2960
Dcp1b,2961
Dctn2,2962
Dctn3,2963
Dcxr,2964
Ddah2,2965
Ddb2,2966
Ddo,2967
Ddr1,2968
Ddx1,2969
Ddx24,2970
Ddx27,2971
Ddx39,2972
Ddx41,2973
Ddx50,2974
Ddx54,2975
Ddx55,2976
Def8,2977
Defb12,2978
Degs2,2979
Dennd4a,2980
Dgcr14,2981
Dgkh,2982
Dgkz,2983
Dglucy,2984
Dhcr24,2985
Dhh,2986
Dhrs11,2987
Dhrs13,2988
Dhrs2,2989
Dhrs4,2990
Dhtkd1,2991
Dhx16,2992
Dhx35,2993
Dhx57,2994
Dhx8,2995
Diablo,2996
Dio1,2997
Dip2a,2998
Dip2b,2999
Disc1,3000
Disp3,3001
Dkk3,3002
Dlc1,3003
Dleu7,3004
Dlg1,3005
Dlgap4,3006
Dlk1,3007
Dll3,3008
Dll4,3009
Dlst,3010
Dlx3,3011
Dmap1,3012
Dmc1,3013
Dmrt2,3014
Dmrtb1,3015
Dmtn,3016
Dnaaf1,3017
Dnaaf5,3018
Dnah6,3019
Dnah8,3020
Dnaic1,3021
Dnaja1,3022
Dnajb4,3023
Dnajb6,3024
Dnajc1,3025
Dnajc22,3026
Dnajc27,3027
Dnajc28,3028
Dnajc30,3029
Dnal1,3030
Dnase2a,3031
Dnase2b,3032
Dnd1,3033
Dnm1,3034
Dnmt1,3035
Dnmt3a,3036
Dnmt3b,3037
Dnph1,3038
Doc2b,3039
Doc2g,3040
Dock3,3041
Dohh,3042
Dok4,3043
Dot1l,3044
Dpcr1,3045
Dpep1,3046
Dpep2,3047
Dpp3,3048
Dpp8,3049
Dpysl4,3050
Dqx1,3051
Drc3,3052
Drg2,3053
Dscaml1,3054
Dstyk,3055
Dtnbp1,3056
Dupd1,3057
Dus1l,3058
Dusp15,3059
Dusp18,3060
Dusp3,3061
Dut,3062
Dynll1,3063
Dynll2,3064
Dynlrb2,3065
Dynlt1a,3066
Dynlt1b,3067
Dzip1,3068
E030025P04Rik,3069
E2f1,3070
E2f6,3071
Ebf3,3072
Ebpl,3073
Ece1,3074
Ecm1,3075
Ecm2,3076
Ecscr,3077
Ecsit,3078
Edc4,3079
Edn1,3080
Edn3,3081
Ednra,3082
Eef1a2,3083
Efl1,3084
Efna2,3085
Efnb3,3086
Egfl7,3087
Egln1,3088
Ehd2,3089
Eid1,3090
Eid2b,3091
Eif1a,3092
Eif1ad,3093
Eif1b,3094
Eif2ak2,3095
Eif3d,3096
Eif3g,3097
Eif3h,3098
Eif4a3,3099
Eif4e3,3100
Eif4ebp1,3101
Eif4g3,3102
Eif4h,3103
Eif5,3104
Eif5a,3105
Elac2,3106
Elf2,3107
Elf3,3108
Elfn2,3109
Elk4,3110
Ell,3111
Elmo2,3112
Elmsan1,3113
Eln,3114
Elovl1,3115
Elp4,3116
Emc2,3117
Emc8,3118
Eme1,3119
Emid1,3120
Emilin1,3121
Emilin2,3122
Emilin3,3123
Eml1,3124
Eml2,3125
Eml5,3126
Emsy,3127
Enc1,3128
Eng,3129
Engase,3130
Enho,3131
Enkd1,3132
Eno1,3133
Eno3,3134
Enpp6,3135
Enpp7,3136
Ensa,3137
Entpd3,3138
Entpd4b,3139
Eogt,3140
Epas1,3141
Epb41l1,3142
Epb42,3143
Epha2,3144
Epha8,3145
Ephb1,3146
Ephb2,3147
Ephb3,3148
Ephx1,3149
Ephx2,3150
Epn2,3151
Epn3,3152
Epor,3153
Eps8l2,3154
Eps8l3,3155
Erbb2,3156
Ercc6,3157
Ercc6l2,3158
Erf,3159
Erfe,3160
Ergic1,3161
Erlec1,3162
Erlin2,3163
Esco2,3164
Espn,3165
Esr2,3166
Esrrb,3167
Etfrf1,3168
Etnk1,3169
Etv4,3170
Etv5,3171
Eva1a,3172
Eva1c,3173
Evi2b,3174
Evx1,3175
Exoc3l2,3176
Exoc3l4,3177
Exoc4,3178
Exoc6,3179
Exosc2,3180
Exosc3,3181
Exosc7,3182
Ext2,3183
Extl1,3184
Eya2,3185
Eya3,3186
F11r,3187
F12,3188
F2,3189
F2rl1,3190
F2rl2,3191
Fabp2,3192
Fadd,3193
Fads2,3194
Fads3,3195
Fahd1,3196
Faim2,3197
Fam102a,3198
Fam109b,3199
Fam114a1,3200
Fam117a,3201
Fam120a,3202
Fam120b,3203
Fam126b,3204
Fam131c,3205
Fam13c,3206
Fam149a,3207
Fam151a,3208
Fam160b1,3209
Fam169a,3210
Fam171b,3211
Fam178b,3212
Fam189a2,3213
Fam189b,3214
Fam192a,3215
Fam193b,3216
Fam198a,3217
Fam19a3,3218
Fam19a5,3219
Fam212a,3220
Fam214a,3221
Fam214b,3222
Fam216a,3223
Fam219a,3224
Fam219b,3225
Fam221b,3226
Fam222b,3227
Fam234a,3228
Fam35a,3229
Fam43a,3230
Fam46b,3231
Fam53a,3232
Fam53b,3233
Fam53c,3234
Fam57b,3235
Fam69b,3236
Fam76a,3237
Fam78a,3238
Fam83e,3239
Fam83f,3240
Fam83g,3241
Fam92b,3242
Fam96a,3243
Fanca,3244
Fancc,3245
Farp1,3246
Farp2,3247
Fastk,3248
Fbl,3249
Fblim1,3250
Fbln1,3251
Fbln7,3252
Fbn1,3253
Fbxl14,3254
Fbxl16,3255
Fbxl17,3256
Fbxl20,3257
Fbxl22,3258
